molecule_name,conformation_name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,class
54,2396,2,1,1,1,0,3,0,1,2,1,1,0,2,1,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,3,1,0,1,0,0,2,3,1,1,1,1,1,1,0,3,1,2,1,2,2,0,2,2,0,1,2,2,0,1,2,2,0,2,0,0,0,2,1,2,1,1,1,0,2,1,1,1,2,2,0,1,1,0,2,2,3,2,2,1,3,2,1,1,1,2,2,3,2,0,1,0,0,0,1,3,1,0,1,2,2,2,1,2,2,0,0,0,2,0,1,1,2,0,2,2,2,0,2,0,1,0,0,0,1,0,2,2,2,0,2,2,1,2,3,2,2,2,2,1,1,1,2,1,1,2,2,1,2,0,0,0,2,2,0
89,5275,2,1,1,1,2,3,2,1,1,3,1,0,2,1,0,0,2,1,1,1,2,2,2,2,1,3,3,1,2,1,2,2,3,1,0,1,0,1,2,3,1,1,1,0,0,0,3,3,1,0,1,2,2,0,2,3,2,2,2,2,1,1,2,2,0,2,3,2,0,2,1,2,1,1,1,1,2,0,1,1,2,2,2,1,1,3,3,1,3,2,2,1,3,2,1,1,1,2,2,1,2,0,1,0,0,0,1,1,0,0,1,2,2,2,1,2,2,2,1,1,2,0,1,1,2,0,2,2,2,0,2,0,1,0,0,2,1,1,2,2,2,2,2,2,0,2,0,3,2,3,2,1,1,1,2,1,0,2,2,1,2,0,0,0,2,2,0
90,5774,2,0,0,1,0,3,1,1,1,2,0,0,2,1,0,1,0,1,1,1,2,1,0,0,1,1,2,2,2,2,2,2,0,3,1,0,2,1,1,2,0,3,2,0,1,1,0,3,1,1,1,1,1,0,2,1,1,1,2,3,1,1,2,1,2,0,2,2,0,2,0,0,1,1,1,2,0,1,1,1,1,1,2,3,2,2,3,2,2,3,2,1,3,2,0,0,3,1,1,0,0,0,1,0,0,0,1,2,0,0,1,1,1,1,2,3,1,1,2,0,1,2,2,1,1,0,2,3,2,2,2,0,1,0,0,0,0,0,1,2,2,2,1,1,1,1,3,3,2,2,0,2,0,0,0,0,3,2,3,0,2,0,0,1,2,0,0
83,4253,2,2,1,1,2,2,1,1,1,3,0,0,2,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,2,1,3,3,3,1,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,2,2,2,2,2,2,0,2,2,0,3,1,1,2,1,1,1,1,1,1,2,1,0,2,3,3,2,2,2,1,3,2,3,3,2,1,3,2,3,1,1,0,1,0,1,0,0,0,1,1,1,1,1,2,2,1,2,2,2,1,1,3,3,2,2,2,2,2,2,3,1,0,0,2,0,1,1,2,2,2,1,1,1,2,3,2,2,2,3,2,0,1,3,2,3,2,2,0,2,3,3,3,3,3,0
59,3169,2,1,1,2,0,3,2,1,0,1,1,0,2,1,0,1,2,1,1,1,2,2,2,2,1,3,3,3,2,1,2,2,3,1,3,1,2,1,2,3,1,1,1,0,0,1,2,3,1,1,1,2,2,0,3,3,2,2,2,2,1,1,3,2,3,2,1,2,0,2,1,2,1,0,1,0,2,0,1,1,2,2,2,3,1,3,3,3,3,2,2,1,3,2,1,1,3,2,2,1,2,1,1,0,0,0,1,1,0,0,0,2,2,2,1,3,2,2,1,1,2,3,3,1,2,0,2,2,2,3,2,2,1,0,0,3,1,1,2,2,2,2,2,2,1,2,3,2,2,3,2,3,1,1,0,1,1,2,2,3,2,3,1,1,2,3,0
46,974,0,0,1,2,2,3,2,2,3,3,2,2,3,2,2,3,0,2,2,3,2,2,2,2,1,2,3,3,3,2,0,1,3,2,3,1,2,1,2,3,1,3,1,2,2,3,3,2,2,2,1,2,2,3,2,2,2,2,3,3,1,0,2,3,3,1,2,2,1,2,1,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,1,0,3,2,3,2,3,2,2,1,2,1,2,2,2,3,1,2,2,1,2,2,2,3,2,3,3,2,3,3,3,2,2,1,0,1,3,3,2,3,2,2,1,2,2,3,1,1,2,2,2,1,2,2,0,3,3,2,2,3,2,2,1,1,1,0,3,2,3,3,2,1,1,2,3,3,0
50,1475,2,1,1,2,2,3,2,1,3,1,1,0,2,1,0,1,2,3,1,1,2,2,3,2,1,3,3,3,2,1,3,2,3,1,3,1,2,1,2,3,1,1,2,0,0,1,3,3,1,1,1,2,3,0,3,3,2,2,2,2,1,1,3,2,3,2,2,2,0,2,1,2,0,0,0,2,2,0,1,1,3,2,2,3,1,3,3,3,3,2,2,1,3,2,1,1,3,2,2,1,2,1,0,0,0,0,1,1,0,0,0,3,3,3,1,2,2,2,3,3,2,3,3,1,2,1,2,2,2,3,2,2,1,0,0,2,3,1,2,2,2,2,2,3,1,2,3,2,2,3,2,3,1,1,0,1,3,2,2,3,2,3,1,1,2,3,0
54,2515,2,1,0,1,2,2,0,1,1,2,1,0,2,1,1,0,1,1,1,1,0,0,1,0,0,1,3,2,2,0,3,2,3,2,1,0,1,1,2,0,0,1,2,1,0,0,1,1,1,1,1,0,1,0,2,0,0,2,2,3,1,1,3,0,2,0,2,0,0,0,0,3,1,1,1,2,1,1,1,1,1,0,1,3,2,2,0,2,2,2,2,1,3,1,0,0,2,0,3,3,3,0,1,0,0,0,1,0,1,0,1,1,1,1,2,3,1,1,0,3,1,0,2,0,2,0,1,0,1,2,2,2,1,0,0,0,0,1,1,1,1,0,0,0,1,1,3,0,0,0,1,2,0,1,2,2,1,1,2,1,2,0,3,3,3,2,0
81,4113,2,1,1,1,2,3,2,2,0,2,2,0,2,2,2,3,2,3,0,2,2,2,2,2,0,0,3,3,2,2,0,3,3,2,1,2,1,1,2,3,1,2,2,2,2,2,3,3,2,0,1,2,2,3,2,1,2,2,2,3,0,1,2,0,2,2,2,2,1,2,1,2,2,2,2,2,2,2,0,2,2,2,2,3,2,3,3,2,2,3,0,0,3,2,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,3,2,1,1,1,2,2,0,0,0,1,3,1,2,2,3,1,1,2,2,1,1,2,2,2,2,2,2,1,2,3,2,2,3,1,2,0,1,0,2,3,2,2,1,2,2,0,2,1,0,0
86,4351,2,0,2,1,0,3,1,1,1,2,0,0,2,1,1,1,0,1,1,1,0,1,1,3,1,1,2,2,2,2,2,2,0,3,1,1,2,1,1,2,2,3,1,1,1,1,2,1,1,1,1,1,1,0,2,3,1,1,3,3,1,1,1,1,2,2,2,2,0,2,2,0,1,1,1,2,1,1,1,1,1,1,2,3,2,2,3,2,2,3,2,1,3,2,0,1,3,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,2,3,3,1,2,2,1,2,2,1,1,1,2,3,2,2,2,2,1,0,0,1,0,0,1,2,2,2,1,1,1,2,3,3,2,2,0,2,0,0,0,0,3,2,3,0,2,1,0,2,2,1,0
90,5679,1,0,0,1,2,3,1,1,1,3,0,0,2,1,0,1,3,1,1,1,2,0,3,0,1,1,3,0,2,2,0,0,0,2,1,1,2,1,3,3,0,1,2,1,0,1,0,2,1,1,1,0,1,0,2,1,0,0,2,3,1,1,2,1,2,2,2,0,1,0,0,1,1,1,1,2,0,1,1,1,2,1,2,0,2,2,1,3,3,3,0,0,2,2,1,1,3,0,0,0,0,1,1,0,0,0,1,2,0,0,1,2,3,0,2,3,1,0,0,1,1,2,2,1,0,0,2,1,2,2,2,0,2,0,0,0,1,0,1,2,2,2,0,0,1,0,3,0,0,3,0,2,0,0,3,0,2,2,3,3,2,0,1,2,3,1,0
54,2718,2,1,1,1,0,3,0,1,2,1,1,0,2,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,3,1,0,1,0,1,2,2,1,1,1,1,0,1,0,2,1,2,0,2,2,0,2,3,0,1,2,2,0,1,2,2,0,2,1,2,0,2,1,2,1,0,1,0,2,1,1,1,2,2,0,1,1,0,2,2,3,2,2,1,3,2,1,1,1,2,2,0,2,0,1,0,0,0,1,2,1,0,0,2,2,2,1,2,2,0,0,0,2,0,1,1,2,0,2,2,2,0,2,0,0,0,0,2,1,1,2,2,2,2,3,2,1,2,3,2,2,2,2,1,1,1,2,1,1,2,2,1,2,0,0,0,2,2,0
56,2901,2,1,1,1,1,3,2,1,0,1,1,0,2,1,1,1,2,2,1,1,2,2,2,2,1,3,3,3,2,1,2,2,3,1,0,0,0,1,2,3,1,3,1,1,1,1,0,3,1,1,1,2,2,0,2,3,2,2,2,2,0,1,2,2,1,3,0,2,0,2,1,3,1,1,1,0,2,1,1,1,2,2,2,1,1,3,3,3,3,2,2,1,3,2,0,0,1,2,2,1,2,1,1,0,1,0,1,1,1,0,1,2,2,2,1,2,2,2,1,1,2,0,3,1,1,0,2,2,2,0,2,0,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,3,2,1,1,1,0,1,1,2,2,0,2,1,0,1,2,0,0
81,4034,0,1,1,1,2,3,2,2,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,3,0,2,2,0,1,0,2,1,2,1,1,2,3,1,2,2,2,2,1,3,2,2,0,1,2,2,2,2,2,2,1,2,3,1,1,0,0,2,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,0,0,3,2,0,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,3,2,1,3,2,3,0,1,2,2,0,0,0,1,3,1,2,2,3,1,2,2,3,1,1,2,2,2,1,2,2,1,2,3,2,2,3,0,2,0,1,2,1,3,2,2,1,2,0,0,2,1,0,0
90,5489,2,0,0,1,2,3,1,1,1,3,0,0,2,1,0,1,0,1,1,1,2,0,0,3,0,1,2,2,2,2,2,2,3,2,1,0,2,1,2,3,0,1,2,1,1,1,3,2,1,1,1,0,1,0,2,0,0,0,2,1,1,1,2,1,2,0,2,0,1,0,0,1,1,1,1,1,0,1,1,1,2,1,2,2,2,2,0,2,2,1,0,1,3,2,0,0,3,0,0,0,1,0,1,0,0,0,1,2,0,0,0,3,3,1,2,3,3,1,2,0,1,2,2,0,1,0,1,1,3,2,2,2,2,0,0,0,1,0,1,2,2,3,0,0,1,2,2,0,0,3,0,2,0,0,0,0,1,2,3,3,2,0,1,3,2,0,0
5,1061,2,1,1,2,3,3,3,2,3,3,2,2,3,2,2,1,3,2,2,3,2,2,3,2,1,3,3,3,2,2,3,3,3,2,3,3,0,2,2,3,1,3,1,2,2,3,3,3,2,2,2,3,2,3,2,3,2,1,2,3,1,1,2,1,3,2,1,3,1,2,1,3,2,2,2,1,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,1,3,2,3,3,3,2,2,1,2,1,2,3,2,2,1,2,2,1,2,3,3,3,2,3,3,2,3,0,3,2,2,2,1,3,2,3,2,3,2,3,1,3,2,3,1,1,2,2,2,1,2,2,2,3,3,3,2,3,2,2,1,1,1,2,0,1,1,3,2,3,3,3,3,3,1
40,490,0,1,1,1,2,3,2,2,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,3,0,2,2,2,2,0,2,3,0,1,1,2,3,1,2,2,2,2,1,3,2,2,0,1,2,2,2,2,2,2,1,2,3,1,1,0,3,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,0,3,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,3,2,1,3,2,3,0,1,2,2,3,2,3,1,3,1,2,1,0,1,2,2,3,1,1,2,2,2,1,2,2,1,2,2,2,2,3,2,2,0,1,0,1,3,2,3,1,1,1,0,2,1,1,0
81,3873,2,1,1,1,0,3,2,2,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,3,0,2,2,2,2,0,2,3,0,0,1,2,3,1,2,2,2,2,1,3,2,2,0,1,2,2,2,2,2,2,1,2,3,1,1,2,3,2,2,0,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,3,2,1,0,3,2,2,1,2,0,2,1,2,2,1,2,2,1,2,2,2,3,2,1,3,2,3,0,1,2,2,1,1,3,1,3,1,3,2,0,1,2,2,3,1,1,2,2,2,1,2,2,1,2,3,2,2,3,1,2,0,1,2,1,3,2,3,1,2,0,0,2,1,1,0
89,5151,2,1,1,0,2,3,2,1,2,1,1,0,2,1,0,1,2,1,1,1,2,2,2,2,1,3,3,3,0,1,2,3,3,1,3,1,1,0,2,3,1,3,1,0,0,1,3,3,1,1,1,2,2,0,0,3,2,2,0,2,0,0,1,2,3,2,2,2,1,2,1,3,1,0,1,2,2,0,1,1,2,2,2,3,1,3,3,3,0,2,0,1,3,2,1,2,2,2,2,1,2,1,1,0,0,0,1,1,0,0,1,2,2,2,1,3,0,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2,1,0,0,2,1,1,2,2,2,2,2,2,1,2,3,2,2,3,2,3,1,1,1,0,3,2,2,1,2,0,0,2,2,1,0
59,3309,2,1,2,1,2,3,1,1,1,2,0,0,2,1,0,3,1,1,1,1,2,0,2,0,1,1,2,2,2,2,1,0,2,2,1,1,2,1,3,2,2,3,1,1,1,1,1,3,1,1,1,0,1,0,2,0,1,2,2,3,1,1,1,1,2,2,2,2,1,2,2,3,1,1,1,2,1,1,1,1,2,0,2,0,2,0,3,2,2,3,0,1,2,2,3,2,3,1,3,2,3,1,1,0,0,0,1,0,0,0,1,2,2,3,2,3,1,1,2,2,1,2,2,2,1,0,2,3,2,2,2,2,2,0,0,3,2,1,2,2,2,2,1,1,1,0,3,2,2,2,3,2,0,1,1,2,2,2,3,3,2,0,3,2,3,1,0
54,2091,1,2,0,1,3,0,0,1,1,3,1,0,2,1,1,0,0,2,1,1,2,0,1,2,0,1,2,2,1,2,1,0,2,2,1,1,0,1,2,3,2,3,2,1,0,0,3,1,1,1,1,1,1,0,0,0,0,1,0,3,1,1,1,1,2,2,1,0,1,0,2,3,1,1,1,0,0,1,1,1,1,0,2,3,2,2,2,2,1,1,0,0,2,1,1,2,1,0,3,0,3,1,1,0,0,0,1,0,1,0,1,1,1,1,1,2,1,1,2,2,1,2,2,2,0,0,3,1,1,2,2,2,1,0,0,0,1,0,1,1,2,2,0,0,1,2,3,0,2,3,1,2,0,1,1,2,0,0,0,1,2,0,1,2,3,1,0
14,3038,2,2,2,1,2,3,1,1,1,3,0,0,2,1,0,1,1,1,1,1,2,1,1,3,1,1,2,2,2,2,2,2,3,2,1,1,2,1,2,2,2,1,1,0,0,1,3,1,1,1,1,0,1,0,2,0,1,2,2,3,1,1,3,1,2,3,2,2,1,2,2,3,1,0,1,1,0,0,1,1,1,1,2,3,2,2,3,2,2,3,2,1,3,2,1,1,3,1,3,2,3,1,1,0,0,0,1,0,0,0,0,1,0,1,2,3,1,1,2,2,1,2,2,1,2,1,2,1,2,2,2,3,2,0,0,2,2,1,1,2,2,2,1,1,1,2,2,3,2,2,3,2,0,1,2,2,1,2,3,3,2,0,3,3,3,2,1
54,2067,1,0,0,1,2,1,1,1,1,2,1,0,0,1,1,2,1,1,1,1,2,0,1,2,0,1,3,2,1,2,1,0,2,2,1,1,0,1,2,2,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,0,0,1,0,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,3,0,0,2,1,1,1,1,1,0,0,0,1,1,0,1,2,0,0,1,0,1,1,1,1,1,2,1,1,0,1,1,2,2,1,0,0,1,1,1,2,2,0,1,0,0,2,0,1,1,1,2,2,0,1,1,2,3,0,0,3,0,2,0,0,1,0,3,0,0,1,2,0,1,2,3,1,0
59,3411,2,1,2,1,2,1,1,1,1,2,1,0,2,1,0,0,1,1,1,1,2,1,1,3,1,1,2,2,0,2,2,0,2,0,3,1,2,1,3,2,2,3,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,2,0,3,1,1,1,3,2,2,3,2,1,2,2,3,1,0,1,1,1,0,1,1,1,1,2,3,2,2,3,3,0,3,0,1,2,2,3,2,3,1,3,2,3,1,1,0,1,0,1,0,0,0,1,1,1,1,2,3,3,1,2,2,1,2,2,2,1,0,2,3,2,2,2,2,1,0,0,3,2,1,1,2,2,2,1,1,1,2,3,2,2,2,3,2,1,1,1,2,0,2,3,3,2,0,1,2,3,1,0
50,1451,2,1,2,1,2,3,1,0,1,3,0,0,2,1,1,2,1,2,1,2,0,0,1,3,1,1,2,3,2,2,1,0,2,2,1,3,2,1,3,2,2,3,2,1,1,1,1,1,1,1,2,1,1,0,2,0,1,2,2,3,1,1,2,1,2,2,2,2,1,2,2,3,1,1,1,2,1,1,3,1,1,1,1,3,3,2,3,1,2,3,0,1,2,2,3,2,3,1,3,0,3,1,1,0,0,0,1,0,1,0,0,0,1,1,1,3,1,0,2,0,1,0,2,2,1,0,2,1,2,2,3,2,1,0,0,3,2,1,1,2,2,2,1,1,0,1,1,2,2,2,3,2,0,1,1,2,2,2,3,3,2,0,3,2,3,1,0
26,4187,2,1,1,2,2,3,2,2,3,3,2,0,3,2,2,2,2,3,1,3,2,2,2,2,1,3,3,1,3,2,2,2,3,2,3,2,2,1,2,3,1,2,1,2,2,2,3,3,2,2,1,2,2,3,2,3,2,2,1,3,1,1,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,1,3,3,2,3,3,2,3,2,3,2,2,1,2,0,2,2,2,1,1,1,2,1,2,2,2,2,2,3,3,2,3,1,3,2,2,2,2,3,3,3,3,3,2,3,1,1,2,2,1,1,2,2,2,2,2,2,0,1,1,3,2,3,2,2,1,1,2,1,1,3,3,1,3,2,1,3,3,3,1
54,2042,2,1,1,0,2,1,2,0,3,0,0,0,3,1,1,1,3,2,1,1,2,2,2,2,1,2,3,0,0,1,2,2,3,1,0,1,1,0,2,3,1,1,1,1,1,1,1,1,1,0,1,2,2,0,2,2,2,1,0,0,0,1,3,0,0,2,2,0,0,2,1,2,1,1,3,2,0,1,1,0,1,2,2,1,1,1,3,1,0,2,2,1,3,2,1,1,0,2,2,1,2,1,1,0,0,0,1,1,1,0,0,2,2,2,1,2,2,2,3,3,0,2,2,1,2,0,0,2,0,1,2,2,1,0,0,0,1,2,2,2,2,0,2,2,2,2,1,2,2,3,2,0,1,1,0,1,3,2,2,3,2,0,1,1,2,2,0
5,1258,2,2,2,1,2,3,2,2,2,3,2,3,3,2,2,3,3,3,2,2,2,2,2,2,1,3,3,3,2,2,2,2,3,2,1,1,2,1,3,3,2,1,1,2,2,2,3,2,2,1,1,2,2,3,2,3,3,2,2,3,1,1,3,3,2,3,3,2,1,2,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,2,3,2,1,3,2,1,1,3,2,3,3,3,1,2,2,2,3,1,3,2,1,2,2,2,2,2,3,3,2,3,3,3,2,2,1,2,1,3,3,2,2,2,3,1,2,2,3,3,2,2,3,2,3,3,2,2,2,3,3,2,3,3,2,1,1,2,2,3,0,3,1,2,3,3,3,3,2,1
